corresponding_id,alias,real_name,start,end,extra,links
5529,lord herschell,Farrer Herschell,1837/11/02,1899/03/01,1st Baron Herschell,"https://en.wikipedia.org/wiki/Farrer_Herschell,_1st_Baron_Herschell"
,lord herschell,Richard Farrer Herschell,1899/03/01,1929/10/14,2nd Baron Herschell,"https://en.wikipedia.org/wiki/Richard_Herschell,_2nd_Baron_Herschell"
6742,earl stanhope,Charles Stanhope,1786/03/07,1816/12/15,3rd Earl Stanhope,"https://en.wikipedia.org/wiki/Charles_Stanhope,_3rd_Earl_Stanhope"
1368,earl stanhope,Philip Henry Stanhope,1816/12/15,1855/03/02,4th Earl Stanhope,"https://en.wikipedia.org/wiki/Philip_Henry_Stanhope,_4th_Earl_Stanhope"
2628,earl stanhope,Philip Henry Stanhope,1855/03/02,1875/12/24,5th Earl Stanhope,"https://en.wikipedia.org/wiki/Philip_Stanhope,_5th_Earl_Stanhope"
5032,earl stanhope,Arthur Philip Stanhope,1875/12/24,1905/04/19,6th Earl Stanhope,"https://en.wikipedia.org/wiki/Arthur_Stanhope,_6th_Earl_Stanhope"
7228,earl stanhope,James Richard Stanhope,1905/04/19,1967/08/15,7th Earl Stanhope,"https://en.wikipedia.org/wiki/James_Stanhope,_7th_Earl_Stanhope"
,earl of dunraven,Valentine Richard Quin,1822/02/05,1824/08/24,1st Earl of Dunraven,"https://en.wikipedia.org/wiki/Valentine_Quin,_1st_Earl_of_Dunraven_and_Mount-Earl"
,earl of dunraven,Windham Henry Quin,1824/08/24,1850/08/06,2nd Earl of Dunraven,"https://en.wikipedia.org/wiki/Windham_Quin,_2nd_Earl_of_Dunraven_and_Mount-Earl"
3488,earl of dunraven,Edwin Richard Wyndham-Quin,1850/08/06,1871/10/06,3rd Earl of Dunraven,"https://en.wikipedia.org/wiki/Edwin_Wyndham-Quin,_3rd_Earl_of_Dunraven_and_Mount-Earl"
6941,earl of dunraven,Windham Thomas Wyndham-Quin,1871/10/06,1926/06/14,4th Earl of Dunraven,"https://en.wikipedia.org/wiki/Windham_Wyndham-Quin,_4th_Earl_of_Dunraven_and_Mount-Earl"
,earl of wemyss,Francis Wemyss Charteris,1787/04/29,1808/08/24,soi disant / claimed to be the earl,https://en.wikipedia.org/wiki/Francis_Wemyss-Charteris
,earl of wemyss,Francis Wemyss Charteris Douglas,1826,1853/06/28,8th Earl of Wemyss,"https://en.wikipedia.org/wiki/Francis_Douglas,_8th_Earl_of_Wemyss"
,earl of wemyss,Francis Wemyss-Charteris,1853/06/28,1883/01/01,9th Earl of Wemyss,"https://en.wikipedia.org/wiki/Francis_Wemyss-Charteris,_9th_Earl_of_Wemyss"
3673,earl of wemyss,Francis Richard Charteris,1883/01/01,1914/06/30,10th Earl of Wemyss,"https://en.wikipedia.org/wiki/Francis_Charteris,_10th_Earl_of_Wemyss"
,bishop of london,Beilby Porteus,1787/12/07,1809/05/13,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,John Randolph,1809/08/09,1813/07/28,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,William Howley,1813/10/01,1828/08/15,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,Charles James Blomfield,1828/08/23,1857/08/05,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,Archibald Campbell Tait,1856/11/23,1868/12/30,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,John Jackson,1869/01/29,1885/01/06,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,Frederick Temple,1885/03/24,1896/12/22,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,Mandell Creighton,1897/01/15,1901/01/14,,https://en.wikipedia.org/wiki/Bishop_of_London
,bishop of london,Arthur Winnington-Ingram,1901/04/17,1939/09/01,,https://en.wikipedia.org/wiki/Bishop_of_London
4725,sir walter b barttelot,Walter Barttelot,1875/06/14,1893/02/02,1st Baronet,"https://en.wikipedia.org/wiki/Sir_Walter_Barttelot,_1st_Baronet"
,sir walter b barttelot,Walter George Barttelot,1893/02/02,1900/07/23,2nd Baronet,"https://en.wikipedia.org/wiki/Sir_Walter_Barttelot,_2nd_Baronet"
,sir walter b barttelot,Walter Balfour Barttelot,1900/07/23,1918/10/23,3rd Baronet,"https://en.wikipedia.org/wiki/Sir_Walter_Barttelot,_3rd_Baronet"
,duke of newcastle,Henry Pelham Fiennes Pelham-Clinton,1795/05/17,1851/01/12,4th Duke of Newcastle,"https://en.wikipedia.org/wiki/Henry_Pelham-Clinton,_4th_Duke_of_Newcastle"
,duke of newcastle,Henry Pelham Fiennes Pelham-Clinton,1851/01/12,1864/10/18,5th Duke of Newcastle,"https://en.wikipedia.org/wiki/Henry_Pelham-Clinton,_5th_Duke_of_Newcastle"
,duke of newcastle,Henry Pelham Alexander Pelham-Clinton,1864/10/18,1879/02/22,6th Duke of Newcastle,"https://en.wikipedia.org/wiki/Henry_Pelham-Clinton,_6th_Duke_of_Newcastle"
,duke of newcastle,Henry Pelham Archibald Douglas Pelham-Clinton,1879/02/22,1928/05/30, 7th Duke of Newcastle,"https://en.wikipedia.org/wiki/Henry_Pelham-Clinton,_7th_Duke_of_Newcastle"
950,viscount morpeth,George Howard,1743,1825,6th Earl of Carlisle,"https://en.wikipedia.org/wiki/George_Howard,_6th_Earl_of_Carlisle"
